Time Period,Demand,Renewable Available (alpha-scaled),Renewable Used,Renewable Curtailed,Conventional Generation,Market Price
1,2956.78,1446.72,1446.72,0.0,1510.0600000000002,17.0
2,2854.25,1393.04,1393.04,0.0,1461.21,17.0
3,2785.69,1353.3200000000002,1353.3200000000002,0.0,1432.37,17.0
4,2666.64,1331.04,1331.04,0.0,1335.6,17.0
5,2895.65,1310.8,1310.8,0.0,1584.8500000000001,17.0
6,2921.6610636714618,1255.96,1255.96,0.0,1665.7010636714617,23.7
7,3234.1693216557733,1219.2,1219.2,0.0,2014.9693216557732,40.0
8,3921.5494969452157,1138.8400000000001,1138.8400000000001,0.0,2782.7094969452155,40.0
9,3951.959085539032,1035.52,1035.52,0.0,2916.439085539032,45.0
10,4064.410408125977,1007.12,1007.12,0.0,3057.290408125977,45.0
11,3691.406533240858,1045.8,1045.8,0.0,2645.606533240858,40.0
12,4118.261822052611,1104.24,1104.24,0.0,3014.0218220526112,45.0
13,4005.145142258212,1126.1200000000001,1126.1200000000001,0.0,2879.0251422582123,45.0
14,3696.9127174959162,1151.96,1151.96,0.0,2544.952717495916,40.0
15,3751.867938275621,1271.2,1271.2,0.0,2480.667938275621,40.0
16,3867.2720715752507,1514.96,1514.96,0.0,2352.3120715752507,40.0
17,4044.650789709362,1725.2,1725.2,0.0,2319.4507897093617,40.0
18,4220.125780132439,1853.0,1853.0,0.0,2367.125780132439,40.0
19,4135.18237755747,1910.08,1910.08,0.0,2225.1023775574704,40.0
20,3897.850741850997,1956.6399999999999,1956.6399999999999,0.0,1941.2107418509972,23.7
21,3768.476074258407,2044.8,2044.8,0.0,1723.6760742584072,23.7
22,3134.419513982537,2160.08,2160.08,0.0,974.339513982537,16.3
23,2763.37998300296,2207.2799999999997,2207.2799999999997,0.0,556.0999830029605,16.3
24,2346.0370523297784,2180.3599999999997,2180.3599999999997,0.0,165.6770523297787,7.7
25,2220.54,2096.0,2096.0,0.0,124.53999999999996,7.7
26,2137.172,1915.0,1915.0,0.0,222.17200000000003,7.7
27,2049.4519999999998,1664.9199999999998,1664.9199999999998,0.0,384.5319999999999,7.7
28,2278.509349790936,1407.2800000000002,1407.2800000000002,0.0,871.2293497909359,16.3
29,2733.504732269637,1240.2,1240.2,0.0,1493.3047322696368,17.0
30,2865.7935687871914,1126.52,1126.52,0.0,1739.2735687871914,23.7
31,3514.394553919731,1099.1200000000001,1099.1200000000001,0.0,2415.2745539197313,40.0
32,3566.766965680514,1081.3200000000002,1081.3200000000002,0.0,2485.446965680514,40.0
33,3678.566741972486,1071.84,1071.84,0.0,2606.726741972486,40.0
34,4187.2250174492,1056.6,1056.6,0.0,3130.6250174492,45.0
35,4173.3807780180205,1021.12,1021.12,0.0,3152.2607780180206,45.0
36,4035.89044498939,1038.56,1038.56,0.0,2997.33044498939,45.0
37,3735.9524177284165,1023.76,1023.76,0.0,2712.1924177284163,40.0
38,3638.4325491932555,994.6800000000001,994.6800000000001,0.0,2643.7525491932556,40.0
39,4008.0960485211963,983.6,983.6,0.0,3024.4960485211964,45.0
40,3998.2135433571957,1008.6800000000001,1008.6800000000001,0.0,2989.5335433571954,45.0
41,3951.726745570831,1029.8,1029.8,0.0,2921.9267455708314,45.0
42,4205.040224156745,975.68,975.68,0.0,3229.3602241567455,75.0
43,3932.4285638187603,935.68,935.68,0.0,2996.7485638187604,45.0
44,4213.077285410171,908.92,908.92,0.0,3304.1572854101705,75.0
45,3588.408888566008,852.48,852.48,0.0,2735.928888566008,40.0
46,3401.164010070523,749.64,749.64,0.0,2651.524010070523,40.0
47,2773.358861055594,617.8000000000001,617.8000000000001,0.0,2155.5588610555938,40.0
48,2424.427203050678,513.12,513.12,0.0,1911.3072030506783,23.7
49,2202.69,506.8,506.8,0.0,1695.89,23.7
50,2195.89,648.36,648.36,0.0,1547.5299999999997,17.0
51,2129.4062713599205,795.76,795.76,0.0,1333.6462713599205,17.0
