Time Period,G1,G2,G3,G4,G5,G6,G7,G8
1,480.0,590.0,440.0600000000002,0.0,0.0,0.0,0.0,0.0
2,480.0,590.0,391.21000000000004,0.0,0.0,0.0,0.0,0.0
3,480.0,590.0,362.3699999999999,0.0,0.0,0.0,0.0,0.0
4,480.0,590.0,265.5999999999999,0.0,0.0,0.0,0.0,0.0
5,480.0,590.0,514.8500000000001,0.0,0.0,0.0,0.0,0.0
6,480.0,590.0,520.0,75.70106367146172,0.0,0.0,0.0,0.0
7,480.0,590.0,520.0,406.0,18.96932165577323,0.0,0.0,0.0
8,480.0,590.0,520.0,406.0,786.7094969452155,0.0,0.0,0.0
9,480.0,590.0,520.0,406.0,870.0,50.43908553903202,0.0,0.0
10,480.0,590.0,520.0,406.0,870.0,191.29040812597714,0.0,0.0
11,480.0,590.0,520.0,406.0,649.606533240858,0.0,0.0,0.0
12,480.0,590.0,520.0,406.0,870.0,148.02182205261124,0.0,0.0
13,480.0,590.0,520.0,406.0,870.0,13.025142258212327,0.0,0.0
14,480.0,590.0,520.0,406.0,548.9527174959162,0.0,0.0,0.0
15,480.0,590.0,520.0,406.0,484.66793827562105,0.0,0.0,0.0
16,480.0,590.0,520.0,406.0,356.3120715752507,0.0,0.0,0.0
17,480.0,590.0,520.0,406.0,323.45078970936174,0.0,0.0,0.0
18,480.0,590.0,520.0,406.0,371.1257801324391,0.0,0.0,0.0
19,480.0,590.0,520.0,406.0,229.1023775574704,0.0,0.0,0.0
20,480.0,590.0,520.0,351.21074185099724,0.0,0.0,0.0,0.0
21,480.0,590.0,520.0,133.6760742584072,0.0,0.0,0.0,0.0
22,480.0,494.339513982537,0.0,0.0,0.0,0.0,0.0,0.0
23,480.0,76.09998300296047,0.0,0.0,0.0,0.0,0.0,0.0
24,165.6770523297787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,124.53999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,222.17200000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,384.5319999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,480.0,391.2293497909359,0.0,0.0,0.0,0.0,0.0,0.0
29,480.0,590.0,423.3047322696368,0.0,0.0,0.0,0.0,0.0
30,480.0,590.0,520.0,149.27356878719138,0.0,0.0,0.0,0.0
31,480.0,590.0,520.0,406.0,419.27455391973126,0.0,0.0,0.0
32,480.0,590.0,520.0,406.0,489.44696568051404,0.0,0.0,0.0
33,480.0,590.0,520.0,406.0,610.7267419724858,0.0,0.0,0.0
34,480.0,590.0,520.0,406.0,870.0,264.6250174492002,0.0,0.0
35,480.0,590.0,520.0,406.0,870.0,286.2607780180206,0.0,0.0
36,480.0,590.0,520.0,406.0,870.0,131.3304449893899,0.0,0.0
37,480.0,590.0,520.0,406.0,716.1924177284163,0.0,0.0,0.0
38,480.0,590.0,520.0,406.0,647.7525491932556,0.0,0.0,0.0
39,480.0,590.0,520.0,406.0,870.0,158.49604852119637,0.0,0.0
40,480.0,590.0,520.0,406.0,870.0,123.53354335719541,0.0,0.0
41,480.0,590.0,520.0,406.0,870.0,55.92674557083137,0.0,0.0
42,480.0,590.0,520.0,406.0,870.0,350.0,13.360224156745517,0.0
43,480.0,590.0,520.0,406.0,870.0,130.74856381876043,0.0,0.0
44,480.0,590.0,520.0,406.0,870.0,350.0,88.15728541017052,0.0
45,480.0,590.0,520.0,406.0,739.928888566008,0.0,0.0,0.0
46,480.0,590.0,520.0,406.0,655.5240100705232,0.0,0.0,0.0
