Time Period,Market Price
1,17.0
2,17.0
3,17.0
4,17.0
5,17.0
6,23.7
7,40.0
8,40.0
9,45.0
10,45.0
11,40.0
12,45.0
13,45.0
14,40.0
15,40.0
16,40.0
17,40.0
18,40.0
19,40.0
20,23.7
21,23.7
22,16.3
23,16.3
24,7.7
25,7.7
26,7.7
27,7.7
28,16.3
29,17.0
30,23.7
31,40.0
32,40.0
33,40.0
34,45.0
35,45.0
36,45.0
37,40.0
38,40.0
39,45.0
40,45.0
41,45.0
42,75.0
43,45.0
44,75.0
45,40.0
46,40.0
47,40.0
48,23.7
49,23.7
50,17.0
51,17.0
52,17.0
53,23.7
54,40.0
55,40.0
56,40.0
57,40.0
58,40.0
59,23.7
60,40.0
61,40.0
62,40.0
63,45.0
64,75.0
65,75.0
66,75.0
67,45.0
68,45.0
69,40.0
70,23.7
71,17.0
72,7.7
73,7.7
74,7.7
75,7.7
76,16.3
77,17.0
78,23.7
79,40.0
80,45.0
81,75.0
82,75.0
83,75.0
84,45.0
85,45.0
86,40.0
87,45.0
88,45.0
89,75.0
90,45.0
91,40.0
92,40.0
93,40.0
94,23.7
95,17.0
96,16.3
97,16.3
98,7.7
99,7.7
100,16.3
101,16.3
102,23.7
103,40.0
104,40.0
105,45.0
106,45.0
107,75.0
108,75.0
109,75.0
110,75.0
111,75.0
112,75.0
113,77.0
114,77.0
115,77.0
116,75.0
117,75.0
118,40.0
119,40.0
120,40.0
121,17.0
122,17.0
123,17.0
124,17.0
125,17.0
126,23.7
127,40.0
128,40.0
129,40.0
130,40.0
131,40.0
132,40.0
133,40.0
134,40.0
135,75.0
136,75.0
137,75.0
138,75.0
139,75.0
140,75.0
141,75.0
142,45.0
143,40.0
144,40.0
145,23.7
146,23.7
147,23.7
148,40.0
149,40.0
150,45.0
151,75.0
152,75.0
153,75.0
154,75.0
155,75.0
156,75.0
157,75.0
158,45.0
159,40.0
160,45.0
161,45.0
162,45.0
163,45.0
164,40.0
165,40.0
166,40.0
167,17.0
168,16.3
