Time Period,Demand,Renewable Available (alpha-scaled),Renewable Used,Renewable Curtailed,Conventional Generation
1,2956.78,2893.44,2893.44,0.0,63.340000000000146
2,2854.25,2786.08,2786.08,0.0,68.17000000000007
3,2785.69,2706.6400000000003,2706.6400000000003,0.0,79.04999999999973
4,2666.64,2662.08,2662.08,0.0,4.559999999999945
5,2895.65,2621.6,2621.6,0.0,274.0500000000002
6,2921.6610636714618,2511.92,2511.92,0.0,409.7410636714617
7,3234.1693216557733,2438.4,2438.4,0.0,795.7693216557732
8,3921.5494969452157,2277.6800000000003,2277.6800000000003,0.0,1643.8694969452154
9,3951.959085539032,2071.04,2071.04,0.0,1880.919085539032
10,4064.410408125977,2014.24,2014.24,0.0,2050.170408125977
11,3691.406533240858,2091.6,2091.6,0.0,1599.8065332408582
12,4118.261822052611,2208.48,2208.48,0.0,1909.781822052611
13,4005.145142258212,2252.2400000000002,2252.2400000000002,0.0,1752.905142258212
14,3696.9127174959162,2303.92,2303.92,0.0,1392.9927174959162
15,3751.867938275621,2542.4,2542.4,0.0,1209.4679382756208
16,3867.2720715752507,3029.92,3029.92,0.0,837.3520715752506
17,4044.650789709362,3450.4,3450.4,0.0,594.2507897093619
18,4220.125780132439,3706.0,3706.0,0.0,514.1257801324391
19,4135.18237755747,3820.16,3820.16,0.0,315.02237755747046
20,3897.850741850997,3913.2799999999997,3897.850741850997,15.429258149002635,0.0
21,3768.476074258407,4089.6,3768.476074258407,321.12392574159276,0.0
22,3134.419513982537,4320.16,3134.419513982537,1185.740486017463,0.0
23,2763.37998300296,4414.5599999999995,2763.37998300296,1651.1800169970393,0.0
24,2346.0370523297784,4360.719999999999,2346.0370523297784,2014.682947670221,0.0
25,2220.54,4192.0,2220.54,1971.46,0.0
26,2137.172,3830.0,2137.172,1692.828,0.0
27,2049.4519999999998,3329.8399999999997,2049.4519999999998,1280.388,0.0
28,2278.509349790936,2814.5600000000004,2278.509349790936,536.0506502090643,0.0
29,2733.504732269637,2480.4,2480.4,0.0,253.10473226963677
30,2865.7935687871914,2253.04,2253.04,0.0,612.7535687871914
31,3514.394553919731,2198.2400000000002,2198.2400000000002,0.0,1316.154553919731
32,3566.766965680514,2162.6400000000003,2162.6400000000003,0.0,1404.1269656805139
33,3678.566741972486,2143.68,2143.68,0.0,1534.886741972486
34,4187.2250174492,2113.2,2113.2,0.0,2074.0250174492003
35,4173.3807780180205,2042.24,2042.24,0.0,2131.1407780180207
36,4035.89044498939,2077.12,2077.12,0.0,1958.77044498939
37,3735.9524177284165,2047.52,2047.52,0.0,1688.4324177284166
38,3638.4325491932555,1989.3600000000001,1989.3600000000001,0.0,1649.0725491932553
39,4008.0960485211963,1967.2,1967.2,0.0,2040.8960485211962
40,3998.2135433571957,2017.3600000000001,2017.3600000000001,0.0,1980.8535433571956
41,3951.726745570831,2059.6,2059.6,0.0,1892.1267455708312
42,4205.040224156745,1951.36,1951.36,0.0,2253.6802241567457
43,3932.4285638187603,1871.36,1871.36,0.0,2061.0685638187606
44,4213.077285410171,1817.84,1817.84,0.0,2395.2372854101704
45,3588.408888566008,1704.96,1704.96,0.0,1883.448888566008
46,3401.164010070523,1499.28,1499.28,0.0,1901.8840100705231
47,2773.358861055594,1235.6000000000001,1235.6000000000001,0.0,1537.7588610555938
48,2424.427203050678,1026.24,1026.24,0.0,1398.1872030506781
49,2202.69,1013.6,1013.6,0.0,1189.0900000000001
50,2195.89,1296.72,1296.72,0.0,899.1699999999998
51,2129.4062713599205,1591.52,1591.52,0.0,537.8862713599206
52,2411.567526114161,1753.76,1753.76,0.0,657.807526114161
53,2910.5177623477334,1927.2800000000002,1927.2800000000002,0.0,983.2377623477332
54,3298.465807018093,2068.24,2068.24,0.0,1230.2258070180933
55,3509.4756686436526,2266.6400000000003,2266.6400000000003,0.0,1242.8356686436523
56,3949.9555224617893,2559.12,2559.12,0.0,1390.8355224617894
57,3690.5216055964775,3005.2799999999997,3005.2799999999997,0.0,685.2416055964777
58,3803.2446532837575,3375.84,3375.84,0.0,427.4046532837574
59,3703.974358494372,3614.56,3614.56,0.0,89.41435849437221
60,3789.526266139257,3448.2400000000002,3448.2400000000002,0.0,341.2862661392569
61,3778.824813191636,3064.0,3064.0,0.0,714.8248131916362
62,3727.0077772546806,2515.2000000000003,2515.2000000000003,0.0,1211.8077772546803
63,4081.793334667477,1781.6000000000001,1781.6000000000001,0.0,2300.193334667477
64,3955.679968163727,1194.32,1194.32,0.0,2761.359968163727
65,4032.7638457405574,911.6800000000001,911.6800000000001,0.0,3121.083845740557
66,4229.275002410699,1130.64,1130.64,0.0,3098.6350024106987
67,3986.761772787122,1621.6,1621.6,0.0,2365.161772787122
68,4158.444340534557,2229.52,2229.52,0.0,1928.9243405345574
69,3494.451926226681,2755.2799999999997,2755.2799999999997,0.0,739.1719262266811
70,3566.5899827162634,3183.44,3183.44,0.0,383.14998271626337
71,3008.2310445912913,3406.0800000000004,3008.2310445912913,397.8489554087091,0.0
72,2260.537509832425,3613.52,2260.537509832425,1352.9824901675752,0.0
73,2100.84,3717.44,2100.84,1616.6,0.0
74,1980.56,3684.24,1980.56,1703.6799999999998,0.0
75,1995.4153565622846,3560.1600000000003,1995.4153565622846,1564.7446434377157,0.0
76,2388.043441900901,3337.92,2388.043441900901,949.8765580990989,0.0
77,2824.721178959826,3032.3199999999997,2824.721178959826,207.5988210401738,0.0
78,2879.8666306843825,2366.4,2366.4,0.0,513.4666306843824
79,3387.364201007576,1681.2,1681.2,0.0,1706.164201007576
80,3538.8928829578094,1288.64,1288.64,0.0,2250.2528829578096
81,4085.5731767465477,1085.84,1085.84,0.0,2999.7331767465475
82,4021.17543813205,1033.4399999999998,1033.4399999999998,0.0,2987.73543813205
83,3849.6664338248434,1129.36,1129.36,0.0,2720.306433824843
84,3656.0225560958684,1319.44,1319.44,0.0,2336.5825560958683
85,3739.2003795249816,1583.04,1583.04,0.0,2156.1603795249816
86,3754.4632652836344,1825.76,1825.76,0.0,1928.7032652836344
87,4031.2363559524056,1958.3999999999999,1958.3999999999999,0.0,2072.836355952406
88,4098.890081941152,1992.8,1992.8,0.0,2106.0900819411518
89,4341.965744513921,2017.6,2017.6,0.0,2324.365744513921
90,4193.329611832586,2230.0,2230.0,0.0,1963.3296118325861
91,3975.8834834785325,2622.48,2622.48,0.0,1353.4034834785325
92,4113.078721833722,3100.96,3100.96,0.0,1012.1187218337218
93,3844.4314727446103,3413.52,3413.52,0.0,430.91147274461036
94,3349.5290158104362,3490.32,3349.5290158104362,140.79098418956391,0.0
95,3007.57947402682,3497.7599999999998,3007.57947402682,490.18052597317956,0.0
96,2411.0282663958355,3643.84,2411.0282663958355,1232.8117336041646,0.0
97,2371.024,3587.44,2371.024,1216.4160000000002,0.0
98,2088.433,3480.1600000000003,2088.433,1391.7270000000003,0.0
99,1993.8025,3349.12,1993.8025,1355.3174999999999,0.0
100,2115.4289999999996,3133.9199999999996,2115.4289999999996,1018.491,0.0
101,2447.4021868502336,3004.4,2447.4021868502336,556.9978131497664,0.0
102,3166.673168044521,2909.1200000000003,2909.1200000000003,0.0,257.5531680445206
103,3364.868229798921,2611.6000000000004,2611.6000000000004,0.0,753.2682297989209
104,3739.1707150939974,2032.8,2032.8,0.0,1706.3707150939974
105,4108.249331252302,1800.48,1800.48,0.0,2307.769331252302
106,3830.4324303159215,1529.8400000000001,1529.8400000000001,0.0,2300.5924303159213
107,3890.2037318981647,1206.48,1206.48,0.0,2683.7237318981647
108,4008.9388781069465,887.5999999999999,887.5999999999999,0.0,3121.3388781069466
109,3697.286459850725,770.64,770.64,0.0,2926.646459850725
110,3627.879525062679,696.24,696.24,0.0,2931.6395250626792
111,3806.910445986021,530.7199999999999,530.7199999999999,0.0,3276.190445986021
112,3855.95862804954,297.44,297.44,0.0,3558.51862804954
