Time Period,G1,G2,G3,G4,G5,G6,G7,G8
1,63.340000000000146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,68.17000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,79.04999999999973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.559999999999945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,274.0500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,409.7410636714617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,480.0,315.7693216557732,0.0,0.0,0.0,0.0,0.0,0.0
8,480.0,590.0,520.0,53.86949694521536,0.0,0.0,0.0,0.0
9,480.0,590.0,520.0,290.91908553903204,0.0,0.0,0.0,0.0
10,480.0,590.0,520.0,406.0,54.17040812597679,0.0,0.0,0.0
11,480.0,590.0,520.0,9.806533240858244,0.0,0.0,0.0,0.0
12,480.0,590.0,520.0,319.781822052611,0.0,0.0,0.0,0.0
13,480.0,590.0,520.0,162.90514225821198,0.0,0.0,0.0,0.0
14,480.0,590.0,322.99271749591617,0.0,0.0,0.0,0.0,0.0
15,480.0,590.0,139.46793827562078,0.0,0.0,0.0,0.0,0.0
16,480.0,357.35207157525065,0.0,0.0,0.0,0.0,0.0,0.0
17,480.0,114.25078970936192,0.0,0.0,0.0,0.0,0.0,0.0
18,480.0,34.125780132439104,0.0,0.0,0.0,0.0,0.0,0.0
19,315.02237755747046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,253.10473226963677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,480.0,132.7535687871914,0.0,0.0,0.0,0.0,0.0,0.0
31,480.0,590.0,246.15455391973092,0.0,0.0,0.0,0.0,0.0
32,480.0,590.0,334.1269656805139,0.0,0.0,0.0,0.0,0.0
33,480.0,590.0,464.8867419724861,0.0,0.0,0.0,0.0,0.0
34,480.0,590.0,520.0,406.0,78.02501744920028,0.0,0.0,0.0
35,480.0,590.0,520.0,406.0,135.14077801802068,0.0,0.0,0.0
36,480.0,590.0,520.0,368.77044498938994,0.0,0.0,0.0,0.0
37,480.0,590.0,520.0,98.43241772841657,0.0,0.0,0.0,0.0
38,480.0,590.0,520.0,59.07254919325533,0.0,0.0,0.0,0.0
39,480.0,590.0,520.0,406.0,44.896048521196235,0.0,0.0,0.0
40,480.0,590.0,520.0,390.8535433571956,0.0,0.0,0.0,0.0
41,480.0,590.0,520.0,302.1267455708312,0.0,0.0,0.0,0.0
42,480.0,590.0,520.0,406.0,257.6802241567457,0.0,0.0,0.0
43,480.0,590.0,520.0,406.0,65.0685638187606,0.0,0.0,0.0
44,480.0,590.0,520.0,406.0,399.23728541017044,0.0,0.0,0.0
45,480.0,590.0,520.0,293.448888566008,0.0,0.0,0.0,0.0
46,480.0,590.0,520.0,311.8840100705231,0.0,0.0,0.0,0.0
47,480.0,590.0,467.7588610555938,0.0,0.0,0.0,0.0,0.0
48,480.0,590.0,328.18720305067814,0.0,0.0,0.0,0.0,0.0
49,480.0,590.0,119.09000000000015,0.0,0.0,0.0,0.0,0.0
50,480.0,419.16999999999985,0.0,0.0,0.0,0.0,0.0,0.0
51,480.0,57.886271359920556,0.0,0.0,0.0,0.0,0.0,0.0
52,480.0,177.80752611416096,0.0,0.0,0.0,0.0,0.0,0.0
53,480.0,503.2377623477332,0.0,0.0,0.0,0.0,0.0,0.0
54,480.0,590.0,160.2258070180933,0.0,0.0,0.0,0.0,0.0
55,480.0,590.0,172.8356686436523,0.0,0.0,0.0,0.0,0.0
56,480.0,590.0,320.8355224617894,0.0,0.0,0.0,0.0,0.0
57,480.0,205.2416055964777,0.0,0.0,0.0,0.0,0.0,0.0
58,427.4046532837574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,89.41435849437221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,341.2862661392569,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,480.0,234.82481319163617,0.0,0.0,0.0,0.0,0.0,0.0
62,480.0,590.0,141.80777725468033,0.0,0.0,0.0,0.0,0.0
63,480.0,590.0,520.0,406.0,304.19333466747685,0.0,0.0,0.0
64,480.0,590.0,520.0,406.0,765.359968163727,0.0,0.0,0.0
65,480.0,590.0,520.0,406.0,870.0,255.08384574055708,0.0,0.0
66,480.0,590.0,520.0,406.0,870.0,232.6350024106987,0.0,0.0
67,480.0,590.0,520.0,406.0,369.1617727871221,0.0,0.0,0.0
68,480.0,590.0,520.0,338.92434053455736,0.0,0.0,0.0,0.0
69,480.0,259.1719262266811,0.0,0.0,0.0,0.0,0.0,0.0
70,383.14998271626337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,480.0,33.46663068438238,0.0,0.0,0.0,0.0,0.0,0.0
79,480.0,590.0,520.0,116.16420100757591,0.0,0.0,0.0,0.0
80,480.0,590.0,520.0,406.0,254.25288295780956,0.0,0.0,0.0
81,480.0,590.0,520.0,406.0,870.0,133.73317674654754,0.0,0.0
82,480.0,590.0,520.0,406.0,870.0,121.73543813205015,0.0,0.0
83,480.0,590.0,520.0,406.0,724.3064338248432,0.0,0.0,0.0
84,480.0,590.0,520.0,406.0,340.5825560958683,0.0,0.0,0.0
85,480.0,590.0,520.0,406.0,160.16037952498164,0.0,0.0,0.0
86,480.0,590.0,520.0,338.70326528363444,0.0,0.0,0.0,0.0
87,480.0,590.0,520.0,406.0,76.83635595240594,0.0,0.0,0.0
88,480.0,590.0,520.0,406.0,110.09008194115177,0.0,0.0,0.0
89,480.0,590.0,520.0,406.0,328.3657445139211,0.0,0.0,0.0
90,480.0,590.0,520.0,373.3296118325861,0.0,0.0,0.0,0.0
91,480.0,590.0,283.4034834785325,0.0,0.0,0.0,0.0,0.0
92,480.0,532.1187218337218,0.0,0.0,0.0,0.0,0.0,0.0
93,430.91147274461036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,257.5531680445206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,480.0,273.26822979892086,0.0,0.0,0.0,0.0,0.0,0.0
104,480.0,590.0,520.0,116.37071509399743,0.0,0.0,0.0,0.0
105,480.0,590.0,520.0,406.0,311.769331252302,0.0,0.0,0.0
106,480.0,590.0,520.0,406.0,304.5924303159213,0.0,0.0,0.0
107,480.0,590.0,520.0,406.0,687.7237318981647,0.0,0.0,0.0
108,480.0,590.0,520.0,406.0,870.0,255.3388781069466,0.0,0.0
109,480.0,590.0,520.0,406.0,870.0,60.64645985072502,0.0,0.0
110,480.0,590.0,520.0,406.0,870.0,65.63952506267924,0.0,0.0
111,480.0,590.0,520.0,406.0,870.0,350.0,60.19044598602113,0.0
112,480.0,590.0,520.0,406.0,870.0,350.0,342.51862804954,0.0
113,480.0,590.0,520.0,406.0,870.0,350.0,735.0,197.59304849470936
114,480.0,590.0,520.0,406.0,870.0,350.0,735.0,117.56139357785196
115,480.0,590.0,520.0,406.0,870.0,350.0,598.6463338703124,0.0
116,480.0,590.0,520.0,406.0,870.0,350.0,381.7687813457351,0.0
117,480.0,590.0,520.0,406.0,870.0,283.7438571685411,0.0,0.0
118,480.0,590.0,520.0,406.0,424.188375081877,0.0,0.0,0.0
119,480.0,590.0,520.0,406.0,343.51130147988306,0.0,0.0,0.0
120,480.0,590.0,520.0,178.81705562698153,0.0,0.0,0.0,0.0
121,480.0,355.6867054836656,0.0,0.0,0.0,0.0,0.0,0.0
122,480.0,560.4313109609764,0.0,0.0,0.0,0.0,0.0,0.0
